match_id,league,date,time,kickoff_time_utc,home_team,away_team,home_goals,away_goals,result,home_odds,draw_odds,away_odds
SP1_2024-08-31_espanol_vallecano,SP1,2024-08-31,18:15,2024-08-31 17:15:00+00:00,Espanol,Vallecano,2,1,H,2.79,2.91,2.92
I1_2024-08-31_lazio_milan,I1,2024-08-31,19:45,2024-08-31 18:45:00+00:00,Lazio,Milan,2,2,D,2.81,3.37,2.55
I1_2024-08-31_napoli_parma,I1,2024-08-31,19:45,2024-08-31 18:45:00+00:00,Napoli,Parma,2,1,H,1.43,4.83,7.25
F1_2024-08-31_toulouse_marseille,F1,2024-08-31,20:00,2024-08-31 19:00:00+00:00,Toulouse,Marseille,1,3,A,3.13,3.59,2.23
SP1_2024-08-31_leganes_mallorca,SP1,2024-08-31,20:30,2024-08-31 19:30:00+00:00,Leganes,Mallorca,0,1,A,2.84,2.73,3.03
SP1_2024-08-31_valencia_villarreal,SP1,2024-08-31,20:30,2024-08-31 19:30:00+00:00,Valencia,Villarreal,1,1,D,2.66,3.28,2.76
E0_2024-09-01_chelsea_crystal-palace,E0,2024-09-01,13:30,2024-09-01 12:30:00+00:00,Chelsea,Crystal Palace,1,1,D,1.65,4.3,4.97
E0_2024-09-01_newcastle_tottenham,E0,2024-09-01,13:30,2024-09-01 12:30:00+00:00,Newcastle,Tottenham,2,1,H,2.46,3.89,2.64
F1_2024-09-01_monaco_lens,F1,2024-09-01,14:00,2024-09-01 13:00:00+00:00,Monaco,Lens,1,1,D,1.99,3.72,3.65
D1_2024-09-01_heidenheim_augsburg,D1,2024-09-01,14:30,2024-09-01 13:30:00+00:00,Heidenheim,Augsburg,4,0,H,2.42,3.47,2.92
E0_2024-09-01_man-united_liverpool,E0,2024-09-01,16:00,2024-09-01 15:00:00+00:00,Man United,Liverpool,0,3,A,3.56,4.04,1.95
F1_2024-09-01_angers_nice,F1,2024-09-01,16:00,2024-09-01 15:00:00+00:00,Angers,Nice,1,4,A,4.3,3.32,1.95
F1_2024-09-01_le-havre_auxerre,F1,2024-09-01,16:00,2024-09-01 15:00:00+00:00,Le Havre,Auxerre,3,1,H,2.83,3.26,2.59
