season,outcome,bin,avg_pred,actual,error,count
2025-2026,away,8,0.24479275412427315,0.18181818181818182,-0.06297457230609133,88
2025-2026,away,9,0.2627547655145863,0.21839080459770116,-0.04436396091688516,87
2025-2026,away,10,0.2807103283027341,0.29545454545454547,0.014744217151811345,88
2025-2026,away,11,0.2994928000845802,0.2840909090909091,-0.015401890993671064,88
2025-2026,away,12,0.31632794059812075,0.3103448275862069,-0.005983113011913843,87
2025-2026,away,13,0.33817055217826303,0.2840909090909091,-0.05407964308735391,88
2025-2026,away,14,0.36332900816560776,0.3793103448275862,0.01598133666197843,87
2025-2026,away,15,0.3906533943718216,0.4431818181818182,0.05252842380999656,88
2025-2026,away,16,0.4241906901832476,0.4482758620689655,0.024085171885717904,87
2025-2026,away,17,0.4650354006947831,0.4431818181818182,-0.02185358251296493,88
2025-2026,away,18,0.5166301844458167,0.47126436781609193,-0.04536581662972472,87
2025-2026,away,19,0.5784802246053193,0.6590909090909091,0.08061068448558972,88
2025-2026,away,20,0.6820970907192322,0.6590909090909091,-0.02300618162832313,88
